"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.0004471499172,0.996,0.384,0,"0","Prxl2b"
0,2.1327570134323,0.819,0.207,0,"0","Ppp1r14c"
0,1.87916973302234,0.952,0.343,0,"0","Prnp"
0,1.92419001823092,0.819,0.211,0,"0","Fam131c"
0,1.92308401871004,0.866,0.258,0,"0","Eml2"
0,1.73672353493194,0.99,0.383,0,"0","Serpine2"
0,1.91832684161606,0.825,0.218,0,"0","Eef1a2"
0,1.76301137414265,0.854,0.247,0,"0","Mlf1"
0,1.93911756407307,0.917,0.312,0,"0","Rap1gds1"
0,1.96123419674087,0.878,0.273,0,"0","Ip6k2"
0,1.68531819027026,0.876,0.272,0,"0","Ank2"
0,1.68617818583377,0.995,0.395,0,"0","Olfm1"
0,1.6793806721236,0.839,0.239,0,"0","Myt1l"
0,1.93116742673592,0.816,0.216,0,"0","Rtp2"
0,2.26469177726547,0.803,0.204,0,"0","Pkia"
0,2.25121056597177,0.995,0.397,0,"0","Sult1d1"
0,1.60044079140542,0.876,0.279,0,"0","Homer2"
0,1.71913583555492,0.954,0.358,0,"0","Cfap36"
0,2.0309888736575,0.79,0.196,0,"0","Ano2"
0,2.1837943570181,0.802,0.21,0,"0","Fam13a"
0,1.52741490835606,0.991,0.401,0,"0","Ncam1"
0,2.14324140939982,0.806,0.217,0,"0","Rnf128"
0,2.15817345016515,0.778,0.189,0,"0","Fam217a"
0,2.15807929154956,0.789,0.202,0,"0","Tarsl2"
0,2.24158829876594,0.765,0.178,0,"0","Gadl1"
0,1.65071086671631,0.877,0.29,0,"0","Id4"
0,2.11845078507587,0.791,0.206,0,"0","Ppp1r1a"
0,1.86634100162136,0.904,0.319,0,"0","Abhd16a"
0,2.06341060470461,0.785,0.201,0,"0","Pex5l"
0,1.89718909867503,0.96,0.379,0,"0","Arl3"
0,1.85014280456469,1,0.42,0,"0","Gfy"
0,1.69167709518565,0.834,0.255,0,"0","Rab3a"
0,2.30268946514418,0.76,0.181,0,"0","Celf4"
0,2.06356260395799,1,0.422,0,"0","Chga"
0,1.69726957147152,0.909,0.331,0,"0","Ptp4a3"
0,2.05161884236979,0.786,0.209,0,"0","Plxna4"
0,1.55470916645815,0.813,0.238,0,"0","Tubb3"
0,1.81402804705298,0.914,0.339,0,"0","Ormdl3"
0,1.67560703759114,0.896,0.323,0,"0","Ift43"
0,1.90175458150265,0.812,0.241,0,"0","Traf3ip1"
0,2.08223114395612,0.768,0.198,0,"0","Elmod3"
0,2.15459533304993,0.761,0.192,0,"0","Fmn2"
0,1.81574768356193,0.832,0.263,0,"0","Pkib"
0,1.80725988190652,0.999,0.431,0,"0","Nsg1"
0,2.0598076457671,0.788,0.221,0,"0","Abca5"
0,1.7814462231735,0.851,0.289,0,"0","Mycbp"
0,1.72200553281632,0.863,0.301,0,"0","Endod1"
0,1.8990464240867,0.787,0.226,0,"0","Pygo1"
0,1.77495301597981,0.837,0.276,0,"0","Ift74"
0,2.03990494819736,0.746,0.186,0,"0","Pifo"
0,1.84300995123737,0.79,0.231,0,"0","Rsph9"
0,1.37604625914962,0.832,0.273,0,"0","Pde1c"
0,1.90842583512698,0.763,0.205,0,"0","BC049352"
0,0.713424707012252,0.801,0.245,0,"0","Stmn2"
0,1.71635614094659,0.812,0.256,0,"0","Ncapg2"
0,1.83784289333525,0.781,0.226,0,"0","Spa17"
0,1.87755205843565,0.764,0.21,0,"0","Rd3"
0,1.9214052587464,0.755,0.202,0,"0","Zfp385b"
0,1.60705146632016,0.869,0.316,0,"0","Faim"
0,1.73147290852733,0.805,0.254,0,"0","Gnao1"
0,1.95101945769971,1,0.449,0,"0","Fstl5"
